"VIN","_id","host","ip","apiKey","userId","idReporte","requestParameters","requestUrl","responseCode","responseCodeStatus","requestTime","responseTime","labels","idRespuesta","idConsulta","responseBody","carfaxUsaData","alertas","firewallUsa"
"1FTCR1002MUC67747","672a4446124bd56498eadd97","10.240.2.38:80","201.116.128.213:25288,10.240.5.208, 127.0.0.6","6cNqbbTqBnZEchPZ2YYn",,,"{}","/v2/regularizacion/1FTCR1002MUC67747","200","ok","5/11/2024 10:13:58","5/11/2024 10:14:00",,"672a4448124bd56498eadd98","672a4446124bd56498eadd97","{""mensajes"":[{""codigo"":4,""mensaje"":""El dígito verificador en la 9° posición del VIN 1FTCR1002MUC67747 NO es correcto.""}],""marca"":""FORD"",""modelo"":""RANGER"",""anioModelo"":""1991"",""robo"":false,""roboFecha"":null,""fabricante"":""FORD MOTOR COMPANY"",""paisOrigen"":""ESTADOS UNIDOS (USA)"",""tiempoConsulta"":""2024-11-05T10:13:58-06:00"",""tiempoRespuesta"":""2024-11-05T10:14:00-06:00""}","{""error"":""VIN INVALIDO"",""respuestaCompleta"":{""vin"":""1FTCR1002MUC67747"",""timestamp"":""2024-11-05T10:13:58.000"",""error"":{""message"":""The VIN you entered was invalid""},""vinSuggestions"":[{""vin"":""1FTCR10U2MUC67747"",""description"":""1991 FORD/RANGER CUSTOM/3.0L V6    F""},{""vin"":""1FTEX1CP2MKC67747"",""description"":""2021 FORD/F150 SUPER CAB/2.7L V6    F DOHC 24V""},{""vin"":""1FTRS4UG2MKC67747"",""description"":""2021 FORD/TRANSIT T-350 HD/3.5L V6""}]}}","[{""codigo"":4,""mensaje"":""El dígito verificador en la 9° posición del VIN 1FTCR1002MUC67747 NO es correcto.""}]","0"
"KL8CB6SA6HC706067","672a44417384826621095dcd","10.240.2.38:80","201.116.128.213:25288,10.240.5.208, 127.0.0.6","6cNqbbTqBnZEchPZ2YYn",,,"{}","/v2/regularizacion/KL8CB6SA6HC706067","200","ok","5/11/2024 10:13:53","5/11/2024 10:13:56",,"672a44447384826621095dce","672a44417384826621095dcd","{""mensajes"":[],""robo"":false,""roboFecha"":null,""marca"":""CHEVROLET"",""modelo"":""SPARK LS CVT"",""anioModelo"":""2017"",""fabricante"":""GENERAL MOTORS LLC"",""paisOrigen"":""COREA DEL SUR"",""tiempoConsulta"":""2024-11-05T10:13:53-06:00"",""tiempoRespuesta"":""2024-11-05T10:13:56-06:00""}","{""vin"":""KL8CB6SA6HC706067"",""timestamp"":""2024-11-05T10:13:53.000"",""components"":{""potentialFraudFile"":{""year"":2017,""make"":""CHEVROLET"",""model"":""SPARK LS CVT"",""rateEvasionFlags"":[],""potentialFraudFlags"":[],""vinCloningFlags"":[]}},""customCalculationOdometer"":""""}","[]","0"
"1HGCR2F33DA191155","672a443f69994fdacd6fe53c","10.240.2.38:80","201.116.128.213:25287,10.240.6.41, 127.0.0.6","6cNqbbTqBnZEchPZ2YYn",,,"{}","/v2/regularizacion/1HGCR2F33DA191155","200","ok","5/11/2024 10:13:51","5/11/2024 10:13:54",,"672a444269994fdacd6fe53d","672a443f69994fdacd6fe53c","{""mensajes"":[],""robo"":false,""roboFecha"":null,""marca"":""HONDA"",""modelo"":""ACCORD LX"",""anioModelo"":""2013"",""fabricante"":""AMERICAN HONDA MOTOR CO., INC."",""paisOrigen"":""ESTADOS UNIDOS (USA)"",""tiempoConsulta"":""2024-11-05T10:13:51-06:00"",""tiempoRespuesta"":""2024-11-05T10:13:54-06:00""}","{""vin"":""1HGCR2F33DA191155"",""timestamp"":""2024-11-05T10:13:52.000"",""components"":{""potentialFraudFile"":{""year"":2013,""make"":""HONDA"",""model"":""ACCORD LX"",""rateEvasionFlags"":[],""potentialFraudFlags"":[],""vinCloningFlags"":[]}},""customCalculationOdometer"":""""}","[]","0"
"5TBRT34123S422249","672a44357384826621095dcb","10.240.2.38:80","201.116.128.213:25286,10.240.3.57, 127.0.0.6","6cNqbbTqBnZEchPZ2YYn",,,"{}","/v2/regularizacion/5TBRT34123S422249","200","ok","5/11/2024 10:13:41","5/11/2024 10:13:42",,"672a44367384826621095dcc","672a44357384826621095dcb","{""mensajes"":[],""robo"":false,""roboFecha"":null,""marca"":""TOYOTA"",""modelo"":""TUNDRA SR5"",""anioModelo"":""2003"",""fabricante"":""TOYOTA MOTOR MANUFACTURING, INDIANA, INC."",""paisOrigen"":""ESTADOS UNIDOS (USA)"",""tiempoConsulta"":""2024-11-05T10:13:41-06:00"",""tiempoRespuesta"":""2024-11-05T10:13:42-06:00""}","{""vin"":""5TBRT34123S422249"",""timestamp"":""2024-11-05T10:13:41.000"",""components"":{""potentialFraudFile"":{""year"":2003,""make"":""TOYOTA"",""model"":""TUNDRA SR5"",""rateEvasionFlags"":[],""potentialFraudFlags"":[],""vinCloningFlags"":[""Inactive""]}},""customCalculationOdometer"":""""}","[]","0"
"5LTPW18597FJ10858","672a442d124bd56498eadd95","10.240.2.38:80","201.116.128.213:25285,10.240.5.210, 127.0.0.6","6cNqbbTqBnZEchPZ2YYn",,,"{}","/v2/regularizacion/5LTPW18597FJ10858","200","ok","5/11/2024 10:13:33","5/11/2024 10:13:35",,"672a442f124bd56498eadd96","672a442d124bd56498eadd95","{""mensajes"":[],""robo"":false,""roboFecha"":null,""marca"":""LINCOLN"",""modelo"":""MARK LT"",""anioModelo"":""2007"",""fabricante"":""FORD MOTOR COMPANY"",""paisOrigen"":""ESTADOS UNIDOS (USA)"",""tiempoConsulta"":""2024-11-05T10:13:33-06:00"",""tiempoRespuesta"":""2024-11-05T10:13:35-06:00""}","{""vin"":""5LTPW18597FJ10858"",""timestamp"":""2024-11-05T10:13:34.000"",""components"":{""potentialFraudFile"":{""year"":2007,""make"":""LINCOLN"",""model"":""MARK LT"",""rateEvasionFlags"":[],""potentialFraudFlags"":[],""vinCloningFlags"":[]}},""customCalculationOdometer"":""""}","[]","0"
"4N2ZN15T62D807133","672a442c124bd56498eadd93","10.240.2.38:80","201.116.128.213:25285,10.240.1.169, 127.0.0.6","6cNqbbTqBnZEchPZ2YYn",,,"{}","/v2/regularizacion/4N2ZN15T62D807133","200","ok","5/11/2024 10:13:32","5/11/2024 10:13:33",,"672a442d124bd56498eadd94","672a442c124bd56498eadd93","{""mensajes"":[],""robo"":false,""roboFecha"":null,""marca"":""NISSAN"",""modelo"":""QUEST GXE"",""anioModelo"":""2002"",""fabricante"":""FORD MOTOR COMPANY"",""paisOrigen"":""ESTADOS UNIDOS (USA)"",""tiempoConsulta"":""2024-11-05T10:13:32-06:00"",""tiempoRespuesta"":""2024-11-05T10:13:33-06:00""}","{""vin"":""4N2ZN15T62D807133"",""timestamp"":""2024-11-05T10:13:33.000"",""components"":{""potentialFraudFile"":{""year"":2002,""make"":""NISSAN"",""model"":""QUEST GXE"",""rateEvasionFlags"":[],""potentialFraudFlags"":[],""vinCloningFlags"":[]}},""customCalculationOdometer"":""""}","[]","0"
"1GTDT13W82K128864","672a442b7384826621095dc8","10.240.2.38:80","201.116.128.213:25283,10.240.0.249, 127.0.0.6","6cNqbbTqBnZEchPZ2YYn",,,"{}","/v2/regularizacion/1GTDT13W82K128864","200","ok","5/11/2024 10:13:31","5/11/2024 10:13:34",,"672a442e7384826621095dca","672a442b7384826621095dc8","{""mensajes"":[],""robo"":false,""roboFecha"":null,""marca"":""GMC"",""modelo"":""SONOMA SLS"",""anioModelo"":""2002"",""fabricante"":""GENERAL MOTORS LLC"",""paisOrigen"":""ESTADOS UNIDOS (USA)"",""tiempoConsulta"":""2024-11-05T10:13:31-06:00"",""tiempoRespuesta"":""2024-11-05T10:13:34-06:00""}","{""vin"":""1GTDT13W82K128864"",""timestamp"":""2024-11-05T10:13:31.000"",""components"":{""potentialFraudFile"":{""year"":2002,""make"":""GMC"",""model"":""SONOMA SLS"",""rateEvasionFlags"":[],""potentialFraudFlags"":[],""vinCloningFlags"":[]}},""customCalculationOdometer"":""""}","[]","0"
"1GTDT13W82K128864","672a442b124bd56498eadd91","10.240.2.38:80","201.116.128.213:25284,10.240.5.208, 127.0.0.6","6cNqbbTqBnZEchPZ2YYn",,,"{}","/v2/regularizacion/1GTDT13W82K128864","200","ok","5/11/2024 10:13:31","5/11/2024 10:13:32",,"672a442c124bd56498eadd92","672a442b124bd56498eadd91","{""mensajes"":[],""robo"":false,""roboFecha"":null,""marca"":""GMC"",""modelo"":""SONOMA SLS"",""anioModelo"":""2002"",""fabricante"":""GENERAL MOTORS LLC"",""paisOrigen"":""ESTADOS UNIDOS (USA)"",""tiempoConsulta"":""2024-11-05T10:13:31-06:00"",""tiempoRespuesta"":""2024-11-05T10:13:32-06:00""}","{""vin"":""1GTDT13W82K128864"",""timestamp"":""2024-11-05T10:13:32.000"",""components"":{""potentialFraudFile"":{""year"":2002,""make"":""GMC"",""model"":""SONOMA SLS"",""rateEvasionFlags"":[],""potentialFraudFlags"":[],""vinCloningFlags"":[]}},""customCalculationOdometer"":""""}","[]","0"
"5YFBURHE8JP739450","672a442a7384826621095dc7","10.240.2.38:80","201.116.128.213:25282,10.240.3.57, 127.0.0.6","6cNqbbTqBnZEchPZ2YYn",,,"{}","/v2/regularizacion/5YFBURHE8JP739450","200","ok","5/11/2024 10:13:30","5/11/2024 10:13:33",,"672a442d7384826621095dc9","672a442a7384826621095dc7","{""mensajes"":[],""robo"":false,""roboFecha"":null,""marca"":""TOYOTA"",""modelo"":""COROLLA SE"",""anioModelo"":""2018"",""fabricante"":""TOYOTA MOTOR MANUFACTURING, MISSISSIPPI, INC."",""paisOrigen"":""ESTADOS UNIDOS (USA)"",""tiempoConsulta"":""2024-11-05T10:13:30-06:00"",""tiempoRespuesta"":""2024-11-05T10:13:33-06:00""}","{""vin"":""5YFBURHE8JP739450"",""timestamp"":""2024-11-05T10:13:30.000"",""components"":{""potentialFraudFile"":{""year"":2018,""make"":""TOYOTA"",""model"":""COROLLA SE"",""rateEvasionFlags"":[""Out-Of-Area Service Territory""],""potentialFraudFlags"":[],""vinCloningFlags"":[]}},""customCalculationOdometer"":""""}","[]","0"
"1C4RJFBG8EC211230","672a4426124bd56498eadd8f","10.240.2.38:80","201.116.128.213:25282,10.240.5.210, 127.0.0.6","6cNqbbTqBnZEchPZ2YYn",,,"{}","/v2/regularizacion/1C4RJFBG8EC211230","200","ok","5/11/2024 10:13:26","5/11/2024 10:13:27",,"672a4427124bd56498eadd90","672a4426124bd56498eadd8f","{""mensajes"":[],""robo"":false,""roboFecha"":null,""marca"":""JEEP"",""modelo"":""GRAND CHEROKEE LIMITED"",""anioModelo"":""2014"",""fabricante"":""FCA US LLC"",""paisOrigen"":""ESTADOS UNIDOS (USA)"",""tiempoConsulta"":""2024-11-05T10:13:26-06:00"",""tiempoRespuesta"":""2024-11-05T10:13:27-06:00""}","{""vin"":""1C4RJFBG8EC211230"",""timestamp"":""2024-11-05T10:13:26.000"",""components"":{""potentialFraudFile"":{""year"":2014,""make"":""JEEP"",""model"":""GRAND CHEROKEE LIMITED"",""rateEvasionFlags"":[],""potentialFraudFlags"":[],""vinCloningFlags"":[]}},""customCalculationOdometer"":""""}","[]","0"
